genus,hyb,species
Rosa,,abietina
Rosa,,abrica
Rosa,,abutalybovii
Rosa,,abyssinica
Rosa,,achburensis
Rosa,,acicularis
Rosa,,adenophylla
Rosa,,agrestis
Rosa,,alabukensis
Rosa,,alberti
Rosa,,alexeenkoi
Rosa,x,alpestris
Rosa,,altidaghestanica
Rosa,,amblyophylla
Rosa,x,andegavensis
Rosa,,arabica
Rosa,,arensii
Rosa,,arkansana
Rosa,,arvensis
Rosa,x,atlantica
Rosa,x,avrayensis
Rosa,,awarica
Rosa,,baiyushanensis
Rosa,,balcarica
Rosa,,balsamica
Rosa,,banksiae
Rosa,,banksiopsis
Rosa,x,baxanensis
Rosa,,beauvaisii
Rosa,,beggeriana
Rosa,,bella
Rosa,,bellicosa
Rosa,x,belnensis
Rosa,x,bengyana
Rosa,,biebersteiniana
Rosa,x,bigeneris
Rosa,x,binaloudensis
Rosa,x,bishopii
Rosa,x,biturigensis
Rosa,,blanda
Rosa,,boissieri
Rosa,x,bolanderi
Rosa,,bracteata
Rosa,,bridgesii
Rosa,,brotherorum
Rosa,,brunonii
Rosa,,bugensis
Rosa,,buschiana
Rosa,,caesia
Rosa,,calantha
Rosa,,calcarea
Rosa,,californica
Rosa,,calyptopoda
Rosa,x,canadensis
Rosa,,canina
Rosa,,carolina
Rosa,,caryophyllacea
Rosa,,caudata
Rosa,x,caviniacensis
Rosa,x,centifolia
Rosa,,chavinii
Rosa,,chengkouensis
Rosa,,chinensis
Rosa,,chionistrae
Rosa,x,churchillii
Rosa,x,clinophylla
Rosa,x,consanguinea
Rosa,,corymbifera
Rosa,,corymbulosa
Rosa,x,cottetii
Rosa,,coziae
Rosa,,cymosa
Rosa,,cziragensis
Rosa,,daishanensis
Rosa,x,damascena
Rosa,,darginica
Rosa,,davidii
Rosa,,davurica
Rosa,,deqenensis
Rosa,,derongensis
Rosa,,deseglisei
Rosa,,diplodonta
Rosa,,dolichocarpa
Rosa,,doluchanovii
Rosa,,donetzica
Rosa,x,dryadea
Rosa,,dsharkenti
Rosa,,dubovikiae
Rosa,x,dulcissima
Rosa,x,dumalis
Rosa,x,dumetorum
Rosa,,duplicata
Rosa,,ecae
Rosa,,elymaitica
Rosa,x,engelmannii
Rosa,,ermanica
Rosa,,facsarii
Rosa,,fargesiana
Rosa,,farreri
Rosa,x,fernaldiorum
Rosa,,filipes
Rosa,,foetida
Rosa,,foliolosa
Rosa,,forrestiana
Rosa,,freitagii
